id,date,username,text,hashtag,geo
1244731745246773248,2020-03-30 21:02:28+00:00,ferreiraZ92,Gustavo Lima vai fazer uma live para ajudar os médicos que estão lutando contra o coronavírus. Que foda mano!,,
1244719726812684289,2020-03-30 20:14:43+00:00,carlosazevedo99,Pergunta num teste de história de 2078 Qual foi o país europeu mais afetado pelo coronavírus ? ,,
1244704463480332288,2020-03-30 19:14:04+00:00,vaniamaga,O capitalismo selvagem é desumano e opressor. O Corona vírus nos deixa no mesmo patamar. ,,
1244701044992606213,2020-03-30 19:00:29+00:00,pmoraesct,"2 coisas que precisam acabar imediatamente: o coronavírus e o BBB, por favor @Deus",,
1244689263565975553,2020-03-30 18:13:40+00:00,AldaTelles,A guerra contra o coronavirus passou a uma guerra norte-sul. #sad,#sad,
1244684962357547018,2020-03-30 17:56:34+00:00,JoanaAMorais,"Quando percebeu que o coronavírus estava a provocar abusos nos direitos das suas colegas (..) Catarina soube que não tinha outra hipótese senão lutar por elas. História de uma mulher de limpezas e da honra que ela tenta prestar à memória do pai, herói da Revolução dos Cravos. ",,
1244663860897996800,2020-03-30 16:32:43+00:00,paulomenezesr,"Essa semana eu quero eliminar o Corona Vírus, eu quero sair dessa casa não aguento mais!!!!! #ForaCoronaVirus",#ForaCoronaVirus,
1244592741553709063,2020-03-30 11:50:07+00:00,mamede_filho,"6408 casos confirmados em Portugal. 446 novos casos confirmados em 24 horas. 571 pessoas internaras no país, sendo 164 em estado grave. 140 pessoas morreram vítimas do coronavírus em Portugal desde o início da pandemia. ",,
1244585409243480066,2020-03-30 11:20:59+00:00,raeldg,"Levante, que a luz do sol já bagre em sua janela! #quarantine #coronavirus #quarentena #stayhome #homesweethome #reflection #brainstorm #holding #loading #photograpy #shutterstockcontributor em Odivelas https://www.instagram.com/p/B-WxxvdBEAi/?igshid=zl4c5sckl0o",#quarantine #coronavirus #quarentena #stayhome #stayhome #homesweethome #reflection #brainstorm #holding #loading #photograpy #shutterstockcontributor,
1244567184656830469,2020-03-30 10:08:34+00:00,TSFRadio,Coronavírus: Espanha regista 812 mortes nas últimas 24 horas http://dlvr.it/RSqBjW Em http://www.TSF.pt,,
1244557827512942593,2020-03-30 09:31:23+00:00,raquelromeiroo,Só a manu no paredão pra tirar meu foco no corona vírus... #ForaPrior,#ForaPrior,
1244548838997798913,2020-03-30 08:55:40+00:00,JoanaAMorais,Coronavírus: Twitter apaga vídeos de Bolsonaro na rua. Violavam recomendações para se conter surto ,,
1244543587364343808,2020-03-30 08:34:48+00:00,BCamposPereira,Boa ligação para compreender o conceito de escala local durante a pandemia do #coronavírus #covid19. #Localism #StayHome #FiqueEmCasa,#coronav #covid19 #Localism #StayHome #StayHome #FiqueEmCasa #FiqueEmCasa,
1244540515879727104,2020-03-30 08:22:36+00:00,_carlos_machado,"Sem dúvida, o combate ao coronavírus é uma grande política pública do prefeito @marchezan_. Se todos os líderes tomassem as mesmas decisões do prefeito de Porto Alegre, a pandemia poderia ser diferente no BR. Força, prefeito! Não dê ouvidos aos achismos e cientistas de whataspp.",,
1244538239211327489,2020-03-30 08:13:33+00:00,TSFRadio,Aviões da easyJet ficam em terra por causa do coronavírus http://dlvr.it/RSptqZ Em http://www.TSF.pt,,
1244467145330888704,2020-03-30 03:31:03+00:00,paulomenezesr,Sabe quem também não gosta de futebol? Corona vírus. ,,
1244406643527483392,2020-03-29 23:30:38+00:00,AnalogiaDaTuna,Personagem aleatória que destruiria o Coronavírus ,,
1244389823261147138,2020-03-29 22:23:48+00:00,MiguelMartinho7,"Daniel Podence dizia que o Bruno de Carvalho preocupa mais o Coronavirus do que o Sporting. Sabemos do que ele é, um marreta e um traidor. #Coronavirus #STOPCOVID19 #COVID2019",#Coronavirus #STOPCOVID19 #COVID2019,
1244387065250426882,2020-03-29 22:12:50+00:00,_gabrielrdg,"E você só o corona vírus no corpo né, fazendo festa",,
1244372914763370501,2020-03-29 21:16:36+00:00,AlexandrePais,E esta coisa do coronavírus pôs a bÁctéria de quarentena. ,,
1244370095448690700,2020-03-29 21:05:24+00:00,hi_damasceno,Eu me arrumando toda pra ficar dentro de casa enquanto o corona vírus destrói o mundo ,,
1244368121881911296,2020-03-29 20:57:34+00:00,wellingtonrvs,"Se continuar procure o médico um dos sintomas do coronavírus é um cansaço grande, claro além da febre. Olha isso mesmo que for outra coisa, quero te ver bem",,
1244363999170437123,2020-03-29 20:41:11+00:00,mantunes100,"As minhas #corrida deste fim de semana. . #CoronaVirus #FiqueEmCasa . . . Weekend's #running . #Covid19 #StayAtHome . em Lisboa, Portugal - União Européia https://www.instagram.com/p/B-VNF-AAqBM/?igshid=1a6bnrb46mpoo",#corrida #CoronaVirus #FiqueEmCasa #FiqueEmCasa #running #Covid19 #StayAtHome #StayAtHome,
1244321184126304258,2020-03-29 17:51:03+00:00,angel_gomes,Ae dona Judith .. pega aqui esse coronavirus q o presidente mandou pra ,,
1244307717969317888,2020-03-29 16:57:32+00:00,vaniamaga,"Em tempos de Coronavírus, precisamos apoiar quem mais sofre com a crise. Pressione o Senado pela aprovação de uma Renda Básica Emergencial para as famílias mais pobres do Brasil! ",,
1244299478930280451,2020-03-29 16:24:48+00:00,paulomenezesr,"Corona vírus, está em suas mãos. ",,
1244274839914983425,2020-03-29 14:46:54+00:00,sousita__,"O coronavirus já me tirou Punta agora por favor eu quero muito ver o Kendrick ao vivo, isso tem de acontecer",,
1244246947906686976,2020-03-29 12:56:04+00:00,nunomiguelc,Tentem ter coronavirus nos EUA ou na China,,
1244228447104204800,2020-03-29 11:42:33+00:00,TSFRadio,Criança de 14 anos morre vítima de coronavírus em Santa Maria da Feira http://dlvr.it/RSmcJd Em http://www.TSF.pt,,
1244216868707024897,2020-03-29 10:56:32+00:00,TSFRadio,Lar da Misericórdia de Foz Côa com 47 utentes infetados pelo coronavírus http://dlvr.it/RSmWhL Em http://www.TSF.pt,,
